account_article_source_id,time_published,time_created
1222348,1443326400,1443326643
1222349,1443326400,1443326645
1222350,1443326400,1443326646
1222351,1443326400,1443326648
1222352,1443320079,1443326651
1222353,1443319472,1443326653
1225252,1443360710,1443360810
1225544,1443363863,1443364024
1225681,1443365441,1443365616
1232259,1443375904,1443434332
1229583,1443412800,1443412887
1229584,1443412800,1443412889
1229585,1443412800,1443412891
1229586,1443412800,1443412893
1229587,1443412800,1443412895
1229588,1443412800,1443412897
1229589,1443412800,1443412898
1229590,1443412800,1443412900
1229591,1443412800,1443412902
1229592,1443412800,1443412906
1229593,1443412800,1443412908
1229594,1443407014,1443412909
1229595,1443406967,1443412911
1229596,1443406622,1443412912
1244012,1443412800,1443463859
1232475,1443435507,1443435679
1232847,1443438136,1443438331
1236207,1443447080,1443447218
1236723,1443450327,1443450468
1237492,1443454367,1443454538
1239637,1443457229,1443457439
1241352,1443458594,1443458723
1242852,1443459673,1443459801
1243002,1443459774,1443460005
1243862,1443462245,1443462469
1244005,1443463547,1443463732
1244339,1443467024,1443467149
1244410,1443468005,1443468030
1245590,1443472168,1443472283
1245666,1443472375,1443472554
1245755,1443472793,1443472847
1247189,1443477081,1443477270
1247784,1443478758,1443478804
1247938,1443479137,1443479243
1248001,1443479309,1443479375
1248312,1443482415,1443482578
1248356,1443482880,1443483071
1248453,1443484561,1443484765
1248956,1443489446,1443489630
1249721,1443496921,1443497037
1249884,1443499200,1443499277
1249885,1443499200,1443499280
1249886,1443499200,1443499282
1249887,1443499200,1443499283
1249888,1443499200,1443499285
1249889,1443499200,1443499287
1249890,1443499200,1443499289
1249891,1443499200,1443499291
1249892,1443499200,1443499293
1249893,1443499200,1443499294
1249894,1443499200,1443499296
1249895,1443495248,1443499298
1249896,1443494721,1443499300
1249897,1443494505,1443499302
1249900,1443494376,1443499303
1249907,1443494233,1443499305
1249908,1443494144,1443499308
1259501,1443528737,1443528865
1260404,1443534306,1443534565
1260472,1443535009,1443535081
1264892,1443535499,1443568886
1261148,1443538886,1443539017
1261581,1443541198,1443541315
1261967,1443543091,1443543376
1262119,1443544272,1443544450
1262163,1443544670,1443544803
1262173,1443544739,1443544883
1262375,1443546019,1443546122
1263677,1443546903,1443557480
1262897,1443549666,1443549758
1263740,1443558002,1443558173
1263759,1443558175,1443558427
1264031,1443560651,1443560746
1264230,1443563124,1443563291
1264350,1443563754,1443563863
1264684,1443567229,1443567416
1265000,1443570464,1443570672
1265383,1443574641,1443574744
1265661,1443577012,1443577201
1266667,1443585600,1443585834
1266672,1443585600,1443585840
1266666,1443585600,1443585834
1266669,1443585600,1443585836
1270901,1443585600,1443616023
1266668,1443585600,1443585836
1266670,1443585600,1443585838
1266671,1443585600,1443585840
1266673,1443585600,1443585842
1266674,1443585600,1443585843
1266675,1443585600,1443585845
1266676,1443584681,1443585847
1266677,1443582350,1443585848
1266679,1443577598,1443585850
1270205,1443611490,1443611721
1270472,1443612400,1443612754
1270494,1443612704,1443612834
1271115,1443617576,1443617694
1271373,1443619143,1443619219
1271918,1443622676,1443622822
1272345,1443624488,1443624642
1274038,1443629037,1443629109
1274629,1443630895,1443630958
1275580,1443633566,1443633594
1276388,1443636148,1443636166
1276626,1443636561,1443636993
1277036,1443638368,1443638943
1277346,1443639100,1443640805
1277345,1443640270,1443640805
1277517,1443640947,1443641773
1277576,1443641976,1443642056
1278103,1443643882,1443644025
1278271,1443644253,1443644418
1278933,1443646231,1443646325
1280150,1443650584,1443650679
1280202,1443650971,1443651113
1280288,1443652489,1443652565
1280298,1443652801,1443652865
1280408,1443654481,1443654526
1280456,1443655241,1443655340
1280789,1443659211,1443659285
1282285,1443672000,1443672187
1282283,1443672000,1443672184
1282284,1443672000,1443672187
1282286,1443672000,1443672190
1282287,1443672000,1443672192
1282288,1443672000,1443672195
1282289,1443672000,1443672197
1282290,1443672000,1443672198
1282291,1443672000,1443672200
1282292,1443672000,1443672203
1282293,1443668753,1443672205
1282294,1443667795,1443672207
1282295,1443667614,1443672209
1282297,1443667445,1443672214
1285693,1443699959,1443700025
1286173,1443703250,1443703276
1287259,1443710399,1443710495
1287283,1443710599,1443710637
1287512,1443711636,1443711684
1288307,1443715205,1443715276
1289115,1443719368,1443720653
1289728,1443724844,1443725054
1290004,1443727228,1443728033
1290244,1443729118,1443730126
1290466,1443732150,1443732375
1290467,1443731394,1443732377
1290663,1443732708,1443734409
1291191,1443737014,1443738312
1291324,1443738645,1443740284
1291455,1443740592,1443742328
1291718,1443745071,1443746582
1291950,1443746585,1443748603
1292576,1443754661,1443754748
1292905,1443758400,1443758675
1292906,1443758400,1443758678
1292907,1443758400,1443758680
1292908,1443758400,1443758682
1292909,1443758400,1443758684
1292910,1443758400,1443758686
1292911,1443758400,1443758688
1292912,1443758400,1443758690
1292915,1443758400,1443758691
1292916,1443758400,1443758693
1292917,1443758400,1443758695
1292918,1443758400,1443758697
1292919,1443758400,1443758698
1292920,1443758400,1443758706
1292921,1443758400,1443758708
1292922,1443758400,1443758710
1292923,1443758400,1443758712
1292924,1443758400,1443758714
1292925,1443758400,1443758721
1292926,1443758400,1443758723
1296141,1443758400,1443783226
1295893,1443780032,1443781162
1296707,1443786928,1443787383
1296708,1443785757,1443787386
1297577,1443792148,1443793867
1297979,1443793874,1443796127
1298574,1443799439,1443800256
1298575,1443798767,1443800258
1299750,1443808727,1443808938
1299990,1443808989,1443811216
1300140,1443812190,1443813210
1300354,1443813686,1443815357
1301209,1443825157,1443825877
1302205,1443844800,1443846708
1302204,1443844800,1443846708
1302214,1443842853,1443846722
1302203,1443845146,1443846708
1302206,1443844800,1443846710
1302207,1443844800,1443846711
1302208,1443844800,1443846713
1302209,1443844800,1443846715
1302210,1443844800,1443846716
1302211,1443844800,1443846718
1302212,1443844800,1443846720
1302213,1443844800,1443846722
1302215,1443842639,1443846724
1302216,1443842365,1443846726
1305281,1443889848,1443890111
1307165,1443931200,1443932285
1307166,1443931200,1443932287
1307167,1443931200,1443932289
1307170,1443931200,1443932291
1307171,1443931200,1443932293
1307172,1443931200,1443932295
1307173,1443931200,1443932297
1307174,1443931200,1443932300
1307175,1443931200,1443932302
1307176,1443931200,1443932304
1307177,1443931200,1443932306
1307178,1443931200,1443932308
1307179,1443931200,1443932310
1307180,1443931200,1443932311
1307181,1443931200,1443932315
1307182,1443931200,1443932317
1307183,1443925776,1443932321
1310070,1443970592,1443971587
1310981,1443980955,1443981837
1311290,1443984932,1443985870
1311561,1443989393,1443990047
1313891,1444017600,1444019391
1313892,1444017600,1444019391
1313880,1444019202,1444019373
1313881,1444018853,1444019375
1313882,1444017600,1444019377
1313883,1444017600,1444019379
1313884,1444017600,1444019380
1313885,1444017600,1444019382
1313886,1444017600,1444019384
1313887,1444017600,1444019386
1313888,1444017600,1444019388
1313889,1444017600,1444019389
1313890,1444017600,1444019391
1313893,1444017600,1444019393
1313894,1444015336,1444019395
1313895,1444014177,1444019397
1316327,1444038947,1444039276
1317118,1444043911,1444043970
1318677,1444053748,1444053965
1318943,1444055408,1444055621
1319117,1444056318,1444056649
1319949,1444057246,1444057324
1323005,1444059057,1444059256
1326905,1444061429,1444061598
1328062,1444061990,1444062182
1328670,1444062328,1444062551
1329560,1444062937,1444063092
1333548,1444067776,1444067986
1333594,1444068085,1444068367
1333831,1444069289,1444069669
1333906,1444069816,1444070062
1333935,1444070088,1444070363
1334399,1444075902,1444076180
1334553,1444077749,1444078183
1334798,1444080737,1444080855
1335043,1444082660,1444083086
1337046,1444104000,1444104268
1337047,1444104000,1444104268
1337048,1444104000,1444104268
1337049,1444104000,1444104268
1337051,1444104000,1444104268
1337057,1444104000,1444104278
1337050,1444104000,1444104268
1337045,1444104158,1444104268
1337052,1444104000,1444104270
1337053,1444104000,1444104273
1337054,1444104000,1444104274
1337055,1444104000,1444104276
1337056,1444104000,1444104278
1337060,1444104000,1444104280
1337061,1444101847,1444104282
1337062,1444099119,1444104283
1339767,1444125589,1444125732
1340316,1444128929,1444129045
1340590,1444131071,1444131147
1341933,1444139547,1444139710
1342581,1444143355,1444143433
1342634,1444143631,1444143735
1343076,1444146305,1444146457
1343424,1444146641,1444148413
1343748,1444148466,1444150407
1343747,1444149477,1444150407
1343994,1444150739,1444152445
1345355,1444165402,1444166509
1345545,1444167545,1444168529
1345776,1444169858,1444170647
1346057,1444172762,1444174569
1346165,1444175618,1444176614
1346555,1444182618,1444182773
1347492,1444190400,1444190728
1347493,1444190400,1444190730
1347494,1444190400,1444190732
1347495,1444190400,1444190734
1347496,1444190400,1444190735
1347497,1444190400,1444190737
1347498,1444190400,1444190739
1347499,1444190400,1444190741
1347500,1444190400,1444190743
1347501,1444190400,1444190748
1347502,1444190400,1444190750
1347503,1444187751,1444190752
1347504,1444187714,1444190754
1351459,1444214900,1444215848
1352789,1444217416,1444218033
1353907,1444224530,1444225237
1354108,1444225269,1444226203
1358561,1444230183,1444230526
1358562,1444228719,1444230528
1360169,1444233348,1444233496
1361081,1444238378,1444238814
1361428,1444239018,1444241237
1361755,1444242009,1444244005
1362015,1444246015,1444246810
1362304,1444247210,1444249464
1362672,1444253730,1444254100
1362955,1444255002,1444256362
1364407,1444275235,1444276666
1364858,1444270550,1444278764
1368897,1444276800,1444306660
1364853,1444276800,1444278756
1364854,1444276800,1444278758
1364855,1444276800,1444278760
1364856,1444276800,1444278762
1364857,1444276800,1444278764
